loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2023-02-25T18:28:04.612-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.619832375,0.03289794921875,-0.112091064453125,-0.9983978271484375,41368.583855375,-0.7979616528955983,0.04242317000983516,0.05182541403700069,-0.3012751936912537,0.08048263192176819,-0.2361100763082504,-0.06882749497890472,-0.009248152375221252,0.03347969055175781,XArbitraryZVertical,0.03210629233338785,0.009474382701158253,-0.3877552507630092,0.9211543394720489,0.04235350340604782,-0.05180221796035767,-0.9977588653564453,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.628-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.653346375,0.0567474365234375,-0.10272216796875,-1.01226806640625,41368.643419375,-0.8057677010627665,0.04796812313650712,0.03872885406142878,-0.2200862765312195,0.0863458514213562,-0.03529788553714752,-9.272247552871704e-05,-0.07572169601917267,-0.004279613494873047,XArbitraryZVertical,0.02720859849255541,0.01446789597063032,-0.3914594930102423,0.9196791874548558,0.04791377484798431,-0.03871917352080345,-0.998100757598877,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.636-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.686861375,0.081695556640625,-0.135711669921875,-1.046722412109375,41368.643419375,-0.8057677010627665,0.04796812313650712,0.03872885406142878,-0.2200862765312195,0.0863458514213562,-0.03529788553714752,-9.272247552871704e-05,-0.07572169601917267,-0.004279613494873047,XArbitraryZVertical,0.02720859849255541,0.01446789597063032,-0.3914594930102423,0.9196791874548558,0.04791377484798431,-0.03871917352080345,-0.998100757598877,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.666-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.720336375,0.047088623046875,-0.1206512451171875,-1.07073974609375,41368.70298337501,-0.796457143895292,0.05564969719695891,0.03191404140929964,-0.02266445197165012,0.170268714427948,0.2776849269866943,0.008265383541584015,-0.09295399487018585,-0.06090962886810303,XArbitraryZVertical,0.02548937967342335,0.01945570892561494,-0.3871774826241858,0.9214474745040893,0.05559265613555908,-0.03190862387418747,-0.9979435205459595,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.701-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.753851375,0.0433807373046875,-0.1210784912109375,-1.0965576171875,41368.70298337501,-0.796457143895292,0.05564969719695891,0.03191404140929964,-0.02266445197165012,0.170268714427948,0.2776849269866943,0.008265383541584015,-0.09295399487018585,-0.06090962886810303,XArbitraryZVertical,0.02548937967342335,0.01945570892561494,-0.3871774826241858,0.9214474745040893,0.05559265613555908,-0.03190862387418747,-0.9979435205459595,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.735-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.787366375,0.035400390625,-0.07598876953125,-1.108123779296875,41368.762548375,-0.7835496037114463,0.0644059062690174,0.03480930597268667,0.04295720160007477,0.151086762547493,0.114273227751255,-0.02661792188882828,-0.05957328528165817,-0.09799951314926147,XArbitraryZVertical,0.02836884424814172,0.02311154953814632,-0.3810556704533704,0.9238277435726996,0.06432239711284637,-0.03480227664113045,-0.997322142124176,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.770-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.820881375,0.0564727783203125,-0.079925537109375,-1.037826538085938,41368.762548375,-0.7835496037114463,0.0644059062690174,0.03480930597268667,0.04295720160007477,0.151086762547493,0.114273227751255,-0.02661792188882828,-0.05957328528165817,-0.09799951314926147,XArbitraryZVertical,0.02836884424814172,0.02311154953814632,-0.3810556704533704,0.9238277435726996,0.06432239711284637,-0.03480227664113045,-0.997322142124176,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.800-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.854356375,0.0812835693359375,-0.0968170166015625,-0.9939727783203125,41368.822112375,-0.7822768745935147,0.07504238302710596,0.04652060625472403,0.2595740258693695,0.1568437218666077,-0.07320225238800049,-0.0184180736541748,-0.03342166170477867,-0.04171973466873169,XArbitraryZVertical,0.03578390678603609,0.02580916452834577,-0.3800631512556393,0.9239076876684852,0.0748908594250679,-0.04650382697582245,-0.9961068034172058,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.834-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.887870625,0.072509765625,-0.09747314453125,-0.9810028076171875,41368.881675625,-0.7828021321916555,0.08600090597852759,0.0671215356119956,0.2165682762861252,0.2398853451013565,0.1349074095487595,-0.005638644099235535,-0.04694247990846634,0.0142022967338562,XArbitraryZVertical,0.04737794609620249,0.0269252835629578,-0.3795833093978527,0.923551253368754,0.08570151031017303,-0.06707114726305008,-0.9940606951713562,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.870-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.921385625,0.0569000244140625,-0.0468597412109375,-1.008209228515625,41368.881675625,-0.7828021321916555,0.08600090597852759,0.0671215356119956,0.2165682762861252,0.2398853451013565,0.1349074095487595,-0.005638644099235535,-0.04694247990846634,0.0142022967338562,XArbitraryZVertical,0.04737794609620249,0.0269252835629578,-0.3795833093978527,0.923551253368754,0.08570151031017303,-0.06707114726305008,-0.9940606951713562,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
