accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
0.389503114,1.136657704,0.640445116,-0.71943667,2.434326756,0.768104333,2.678788716,2.080049458,-0.88038099,-0.694674053,2.200948423,0.603390278,0.528968059,0.569393437,0.907502251
0.314872148,1.465619723,0.374506824,-3.230510892,0.451613041,0.249762351,-2.630181443,-0.482588877,-1.332814237,-3.541124335,0.526603163,0.46109866,0.482014415,0.427599349,0.527956378
0.016500746,1.197347399,0.086285023,2.8268109,-3.866084926,-0.110667606,2.820552636,2.134002668,-1.403158815,2.024826406,-3.594426388,-0.373365706,0.350986306,0.195936964,-0.038012797
0.010601833,1.393543918,0.35456319,-3.830281365,3.847615564,1.127541215,-2.325329135,-2.753391676,-1.398587065,-3.777387199,3.783550488,0.881625472,0.143603145,0.775039639,0.115550606
-0.002986575,1.693419857,0.507038278,-2.972109763,1.364575906,0.776290751,-0.553857285,-0.557198004,-1.429678582,-3.030021821,1.491238783,0.867192438,0.075663624,0.594840212,0.794344877
0.086085106,0.236604868,0.489858443,2.227428491,-2.117281687,-0.359613563,-0.723618416,2.952907915,-1.552762776,2.205051713,-1.691147587,-0.501407108,0.404803787,0.007855123,0.579084831
-0.109097191,0.700783557,0.16648419,1.761183785,-0.983776396,-0.801833581,0.459611484,-1.775215843,-1.422843156,1.839295826,-1.473287367,-0.802206133,0.021280827,-0.341687655,0.116085923
-0.075392965,1.006491533,0.11591634,-0.005321344,-0.014025649,0.018233112,1.041596738,-2.346184627,-1.534268785,0.013461883,-0.014279914,0.010480111,-0.011183816,-0.000538989,-0.017524004
0.100995048,0.9894417,0.142757157,-0.013934244,-0.026945451,-0.013701221,2.842749583,1.898616268,-1.428389434,-0.001109076,-0.023393068,-0.012379605,-0.007626987,-0.025665475,-0.006106179
-0.517952091,0.098784214,-0.150699243,1.056805198,1.066651177,-0.723530444,3.111775955,-2.856906588,-1.13118645,1.183012719,0.915475123,-0.756059485,-0.314835153,-0.434630308,-0.518381475
-0.163425351,1.878773739,1.051484837,-1.70331368,1.282597416,0.108479934,2.982808938,-0.765786582,-1.216010651,-1.93898773,1.641853047,0.150150786,-0.101627127,1.319435334,0.927291812
0.153088752,1.537398566,-0.211849224,0.905265747,-4.482225795,1.425671009,3.038855256,-2.744960457,-1.25994052,0.659736615,-5.177528678,1.453051624,-0.231637102,1.381495187,-0.17079264
0.012607433,1.071812872,0.130456092,2.202972969,-2.051076196,0.280467169,-2.188547342,2.956024826,-1.481627602,2.157412988,-1.972515103,0.231552134,0.023089748,0.122442219,-0.206942677
0.153926786,1.125574006,0.36693321,-3.113842072,1.136152208,0.763051337,-0.403556286,-0.738455839,-1.330396669,-2.860704715,1.819885372,0.769574629,0.392845565,-0.124642206,0.950989166
-0.027209777,0.060853626,-0.284191113,-2.326047061,0.56413382,2.747825918,0.962718918,-2.768553844,-0.98341695,-2.609265278,0.512285787,2.766030675,0.242042794,-0.722936382,-0.811444442
-0.078712248,0.999453295,0.109266562,0.00769083,-0.00897642,0.001506478,-2.795549308,-1.664959637,-1.482204167,0.012076421,-0.003805637,0.003595019,0.000773334,-0.00770595,0.006274931
0.159618423,1.362421693,0.34734069,0.672730832,-0.843995863,-0.671150705,-2.269261299,-0.272713076,-1.273110501,0.676381504,-0.71011587,-0.54721836,0.245573139,0.225704701,0.612276069
-0.739696573,1.129936331,0.486663439,1.053365787,-0.058001206,-1.180732637,-0.778462028,-0.796473989,-1.328960153,0.977880534,0.016625666,-1.171293035,-0.281770784,0.28358,0.531426866
0.059750427,1.02658741,-0.205895334,1.9664397,-0.671620641,2.189298512,2.495911846,-2.833828157,0.815002481,1.758198119,-1.173893274,2.232257205,-0.018326598,-0.161945112,-0.330504909
-0.260784799,1.525257138,-0.298779498,2.055916495,-0.992004278,-0.976619305,2.916809533,1.041028737,-1.461014839,2.09875736,-1.24712431,-1.027416571,0.033680214,0.446959346,-0.578163661
-0.004850287,1.299405071,0.203579658,-3.457146948,3.821633684,1.383369845,-0.036361188,-2.914695886,-1.32555439,-3.527446899,1.218061932,0.696986184,-0.095920424,0.73588492,-0.325862057
0.142144296,0.863880198,-0.068392573,1.251970464,-0.803969353,-0.53578669,0.840510569,-2.761954443,-1.314616574,1.288564818,-0.890949742,-0.663948066,0.286012281,-0.089957192,-0.307822135
0.47180755,1.337689799,0.546874377,-1.562744113,0.213591553,0.312825978,-2.523345681,-2.705447827,-1.182652886,-1.572339543,-0.046954974,0.283075588,0.270314351,0.511132924,0.409484633
0.587714977,1.794841725,0.147748058,3.081002862,-1.478255704,-0.500993284,1.922054639,-0.11821846,-1.285188519,3.287220303,-1.082526238,-0.489162566,0.227791129,0.149838858,0.140356923
0.073390781,1.122526891,-0.223888431,2.845377338,-1.158934718,-0.045798523,-1.614923388,3.022728091,-1.416199529,2.81801165,-0.889880227,-0.170518797,0.225729249,0.170416924,0.125216669
-0.025485888,0.7459589,-0.166083802,-2.753395804,-0.084295906,1.159723165,-0.835803832,-1.551812984,-1.163679054,-3.399564764,-0.992781984,1.013294328,0.18854749,-0.48661517,-0.189413556
0.413794671,1.269489284,-0.084413954,0.872894925,-0.91629704,-0.699826469,-0.603722935,-0.790348302,-1.301003985,1.127818205,-0.989060136,-0.728253158,0.547961468,0.269532286,0.305810343
0.299326171,1.532921685,0.326065668,-0.126807448,-1.601592285,-0.028430615,-0.734875919,-0.547355986,-1.231400009,-0.134059626,-1.506548136,0.058214494,0.105718347,0.500734722,0.492824875
-0.236336079,0.979179788,0.403743659,1.008593724,-0.748833483,-1.208670938,2.915165818,-0.844609349,-1.378284597,1.061271569,-0.788119819,-1.210998532,-0.067307771,-0.033555937,0.567680859
-0.081712373,0.901165722,-0.142410102,2.712414814,-1.307335057,-0.538676312,-2.795347744,2.770253372,-1.565430445,2.574374919,-1.196548358,-0.981117068,-0.045622755,-0.061964905,-0.135315654
0.256461396,0.94188699,-0.64779404,1.272649966,-1.732179269,-0.464185279,-0.33655513,-2.662663727,-1.442480287,1.389389759,-1.556496825,-0.441412474,-0.099784837,-0.193274475,-0.531973639
0.266628533,1.23828717,0.022306402,-2.163807022,2.279117715,2.566132869,-2.644168047,-1.695860846,-1.460797393,-2.044897989,2.942146755,2.660365986,0.660400882,0.30575766,1.035927783
-0.501328712,1.92482328,0.292078719,0.374396663,-1.162582882,0.506294967,0.899473598,-2.60194678,-1.084353253,0.319933605,-1.351883759,0.657404645,-0.340153002,1.046202844,0.296795772
0.255047217,1.081917902,0.000612416,1.37757158,-0.277967613,-0.726217961,2.839705507,-0.191211956,-1.32231107,1.255008824,-0.285509313,-0.483223305,0.330544136,0.013848122,0.273136796
-0.301035004,1.390835383,0.793314224,1.058884139,0.820310673,0.492404998,2.556021173,-2.761833448,-1.114073511,1.970642941,0.398006798,0.463002558,-0.158756587,0.342261277,0.054950959
-0.053894688,0.934728022,0.054982038,-4.240177764,2.045630409,0.886124328,0.957789483,-1.754035679,-1.171354463,-4.29308322,0.761805851,0.700193468,-0.047171588,0.805281628,0.048156531
