accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
-0.426402327,0.834703706,0.519271943,0.977539147,0.581757946,-0.975834111,2.788846085,2.503863166,-1.271923852,0.251316613,1.247991428,-1.758562272,0.182155123,-0.183599817,0.635586518
0.040455435,1.181295161,-0.393499295,7.054083121,-1.483815368,-0.236089802,2.795106547,-0.661517056,-1.416864337,1.035638975,-1.590508998,-0.066055505,0.145676676,-0.743501594,0.28650383
-0.686562956,-0.184192111,-0.044521248,1.883626228,0.472699592,1.016451445,2.447567894,-3.04114301,-0.71894661,-5.069123331,2.40115366,1.743597693,-1.150438082,-0.731273606,-0.543162486
0.041064371,1.536319358,0.104632174,-2.191022018,-1.107104013,1.463384449,2.70758068,-3.141548502,-1.180036388,-5.192127189,-0.783908718,1.254758321,0.051896027,1.004454199,-0.302707323
0.092414822,1.324158541,-1.2307602,-2.815315702,0.847224701,-0.207859986,-1.875474304,-2.60434046,-1.09990104,2.833501354,-2.853898535,0.445098764,-0.602361441,0.38036644,-1.100977199
-0.377383119,1.012566243,-0.083431362,-1.185324927,2.367026505,1.080085655,-3.04357109,2.402864775,-1.459240127,-2.513804166,-0.680004807,1.060230228,-0.184671977,0.565034649,0.032011745
-0.256197609,-0.169487577,-0.532997073,-4.845752758,-2.617750826,0.218225952,-0.442662462,-2.603270851,-1.111189432,0.235797128,-4.46124507,-0.201983478,0.024619109,-1.523814764,-1.099216353
0.402064841,1.760915401,0.034745165,-1.637256124,2.711205744,-0.323678796,-2.948066915,-0.756667444,-1.470983657,3.102542278,3.817834627,0.326088395,-0.311325341,0.4073088,0.084708845
0.065948315,2.064372503,0.727100319,-0.416201421,1.264323285,3.028081161,-2.277945444,-0.152908865,-1.335924572,-3.895057866,-1.52403046,-0.59481248,0.068881603,0.272295605,-0.49623534
-0.125791296,0.753604115,-0.287788015,-0.510511967,0.079180911,1.691109838,3.141590136,3.086671191,-1.152746862,-1.358479736,2.883799133,-0.482780146,-0.06598626,-0.044111452,-0.743557496
-0.006921709,1.283270693,-0.49247284,-1.006304072,3.089985279,-0.056446665,1.959196118,2.607011686,-1.231154985,0.212580889,2.239961035,0.034764363,0.059484042,0.698468105,0.257652869
-0.451213754,1.257473005,-0.493122383,0.166935509,0.675429175,0.917032627,-1.672542202,-2.792121115,-0.966021579,0.888195216,0.950541254,0.403650442,0.254768302,-0.003443778,-0.656882851
-0.358988494,1.103053466,0.046725457,1.355832634,-1.741381671,-0.528064893,1.554609607,-2.999774523,-1.31398475,0.671188414,-0.913706706,-2.846412028,0.159156146,0.246427178,0.294173013
-0.389911123,1.015952181,0.538617956,-2.39509845,2.604003369,-0.057968243,2.060798283,-1.817592711,-1.491219946,0.135301933,-2.341769953,-0.135489239,0.18834737,0.543613798,-0.008535768
-0.205528358,1.006233508,-0.047605935,-5.257388116,3.891255037,0.155942321,2.795937565,2.900667872,-1.004092165,-1.129592458,2.71295527,0.820485827,-0.309990355,-0.641913816,-0.410781482
-0.14659053,0.910776708,0.748912773,0.497911645,-1.587300572,-0.471272885,-0.369353384,0.045682477,-1.167665518,0.212155784,0.3200543,-1.068441316,0.519618286,-0.601530662,0.219988212
0.3831076,2.192760625,0.110048845,-1.400289006,0.06020954,0.036415225,-0.377266071,-0.001919578,-1.498889823,-6.298689635,-2.514773561,-0.225834708,0.209098041,-0.302772817,0.366699867
-0.096658923,0.94039371,-0.367884145,-0.461863781,3.410075224,1.548775513,-1.501228619,3.141572516,-0.872054257,1.519931688,-4.975244899,-0.427853217,-0.050861818,-1.144092957,-0.452999864
-0.786972973,0.937233254,-0.007213069,1.718856587,0.742553715,-0.740025928,-3.136455094,-2.031961297,-1.13835972,1.194350975,-1.264526761,-0.962248968,-0.162029401,0.266837967,-0.660055214
